Id,Ranking,,Economy,US_dollars,
USA,1,,United States,18569100,
CHN,2,,China,11199145,
JPN,3,,Japan,4939384,
DEU,4,,Germany,3466757,
GBR,5,,United Kingdom,2618886,
FRA,6,,France,2465454,
IND,7,,India,2263523,
ITA,8,,Italy,1849970,
BRA,9,,Brazil,1796187,
CAN,10,,Canada,1529760,
KOR,11,,"Korea, Rep.",1411246,
RUS,12,,Russian Federation,1283162,a
ESP,13,,Spain,1232088,
AUS,14,,Australia,1204616,
MEX,15,,Mexico,1045998,
IDN,16,,Indonesia,932259,
TUR,17,,Turkey,857749,
NLD,18,,Netherlands,770845,
CHE,19,,Switzerland,659827,
SAU,20,,Saudi Arabia,646438,
ARG,21,,Argentina,545866,b
SWE,22,,Sweden,511000,
POL,23,,Poland,469509,
BEL,24,,Belgium,466366,
THA,25,,Thailand,406840,
NGA,26,,Nigeria,405083,
IRN,27,,"Iran, Islamic Rep.",393436,
AUT,28,,Austria,386428,
NOR,29,,Norway,370557,
ARE,30,,United Arab Emirates,348743,
EGY,31,,"Egypt, Arab Rep.",336297,
HKG,32,,"Hong Kong SAR, China",320912,
ISR,33,,Israel,318744,
DNK,34,,Denmark,306143,
PHL,35,,Philippines,304905,
SGP,36,,Singapore,296966,
MYS,37,,Malaysia,296359,
ZAF,38,,South Africa,294841,
IRL,39,,Ireland,294054,
PAK,40,,Pakistan,283660,
COL,41,,Colombia,282463,
CHL,42,,Chile,247028,
FIN,43,,Finland,236785,
BGD,44,,Bangladesh,221415,
PRT,45,,Portugal,204565,
VNM,46,,Vietnam,202616,
GRC,47,,Greece,194559,
CZE,48,,Czech Republic,192925,
PER,49,,Peru,192094,
ROU,50,,Romania,186691,
NZL,51,,New Zealand,185017,
IRQ,52,,Iraq,171489,
DZA,53,,Algeria,156080,
QAT,54,,Qatar,152469,
KAZ,55,,Kazakhstan,133657,
HUN,56,,Hungary,124343,
KWT,57,,Kuwait,114041,
MAR,58,,Morocco,101445,c
ECU,59,,Ecuador,97802,
SDN,60,,Sudan,95584,
UKR,61,,Ukraine,93270,a
AGO,62,,Angola,89633,
SVK,63,,Slovak Republic,89552,
CUB,64,,Cuba,87133,
LKA,65,,Sri Lanka,81322,
ETH,66,,Ethiopia,72374,
DOM,67,,Dominican Republic,71584,
KEN,68,,Kenya,70529,
GTM,69,,Guatemala,68763,
MMR,70,,Myanmar,67430,
UZB,71,,Uzbekistan,67220,
OMN,72,,Oman,66293,
LUX,73,,Luxembourg,59948,
CRI,74,,Costa Rica,57436,
PAN,75,,Panama,55188,
URY,76,,Uruguay,52420,
BGR,77,,Bulgaria,52395,
HRV,78,,Croatia,50425,
LBN,79,,Lebanon,47537,
BLR,80,,Belarus,47433,
TZA,81,,Tanzania,47431,d
MAC,82,,"Macao SAR, China",44803,
